	x
t__SGB4285	0.983381706411237
t__SGB5083	0.0507677080853315
t__SGB6308	0.88392674951682
t__SGB5121	0.0135871520210283
t__SGB5825_group	0.265281277094797
t__SGB6385	0.567516377970239
t__SGB4933	4.09131029704956e-07
t__SGB6506	0.156546703455351
t__SGB5066	0.400831863410869
t__SGB1589	0.501808723549559
t__SGB1814	0.00412298585585856
t__SGB6503	0.7041214460933
t__SGB6579	0.523185148123841
t__SGB1836	0.0299557898979123
t__SGB1953	0.803713582616638
t__SGB4894	0.0789322444576651
t__SGB6602	0.421211188691722
t__SGB1844	0.000433617169484308
t__SGB6513	0.0240299739815579
t__SGB1812	0.0779743711975878
t__SGB6465	0.791534771161894
t__SGB6478	0.500173771860115
t__SGB5111	0.0560778549063199
t__SGB6486	0.630583369897445
t__SGB6526	0.775064127840585
t__SGB6498	0.396691781808154
t__SGB6584	0.789465288073459
t__SGB1895	0.440180686020857
t__SGB9226	2.20788133938054e-06
t__SGB4327	0.0080089021924487
t__SGB2318	0.00492433313880502
t__SGB4301	0.253772437732552
t__SGB14313	0.0507781793037006
t__SGB6359	0.205380310698144
t__SGB15368	0.000174862955675275
t__SGB4940	0.000538614801397828
t__SGB4557	0.0394032339491396
t__SGB6370	0.0107895196801752
t__SGB6440	0.115838907284023
t__SGB6347	0.0715062484062842
t__SGB1824	0.479756415115894
t__SGB1867	0.100710982747087
t__SGB14230	0.739842765613478
t__SGB4652	0.000772766096439148
t__SGB5087	0.000277135176127261
t__SGB4303	0.229016961317653
t__SGB4418	0.251309049838599
t__SGB1798	0.524115840366465
t__SGB6276	0.00589001615742208
t__SGB4648	0.730161737239594
t__SGB6438	0.47123676163606
t__SGB5045	3.19014953795418e-05
t__SGB6460	0.175712797905367
t__SGB6450	0.822062912845033
t__SGB14311	0.00695055852386562
t__SGB1790	4.59570493020585e-07
t__SGB6367	0.00858933649261776
t__SGB1934	1.93455845616007e-08
t__SGB4925	1.78076626088481e-09
t__SGB4577	0.0753521223925268
t__SGB1860	0.025100525054598
t__SGB4921	0.694025205495534
t__SGB4581	0.378789234504754
t__SGB1965	0.23315755232461
t__SGB5089	1.19516360207145e-07
t__SGB6607	0.465207470810652
t__SGB6140	0.993071901420509
t__SGB6396	0.80885661690623
t__SGB5077	0.00291700985475808
t__SGB6540	0.185985848452695
t__SGB4993	0.0436618268329722
t__SGB13976	0.000395812484745822
t__SGB1877	1.00636162331715e-07
t__SGB4563	0.69536343340486
t__SGB14306	0.0102321364081451
t__SGB4715	0.0999824080747797
t__SGB1862	0.0306901470447804
t__SGB4365	0.000603215501536098
t__SGB14334	0.865158192181046
t__SGB4575	0.53367919405685
t__SGB6956	2.28091909259123e-05
t__SGB6139	0.587119577052384
t__SGB14138	0.259115393900484
t__SGB15107	0.255550820325
t__SGB1815	0.788069683648895
t__SGB4262	0.00214252692349748
t__SGB1871	0.000755176018841174
t__SGB6754	0.376523254727551
t__SGB4922	0.130151392715796
t__SGB3983	0.0032230282325614
t__SGB4882	0.170981638402589
t__SGB4198	0.0922600306105026
t__SGB5043	0.122774447818367
t__SGB8601	0.413577379740674
t__SGB6449	0.746463724074053
t__SGB4964	0.1037407674538
t__SGB9387	0.465543666212571
t__SGB4886	0.737545413683688
t__SGB6340	0.0801367500003689
t__SGB1949	3.92399004641338e-05
t__SGB5792	0.0362468800012405
t__SGB4871	0.000643963524977063
