,maaslin2,metagenomeSeq,ttest,wilcoxon,lefse,ancombc
t__SGB15452,2.68041172788483e-09,2.01195275389471e-08,1.284015690651306e-07,1.954200275901141e-11,1.95149811468444e-11,1.19126029045094e-06
t__SGB4608,1.48387084310982e-07,2.01195275389471e-08,5.1899141100382535e-06,1.0918714787277094e-07,1.09065607209735e-07,2.10475387982062e-09
t__SGB5190,3.74174980503539e-07,4.8589957098104e-05,2.5309880680368517e-05,1.9426959830167068e-08,1.943490713859e-08,0.00714646979473071
t__SGB1790,4.78463591524752e-07,9.25749529923081e-08,5.255700378584651e-05,2.1288719299768945e-05,2.12887198231151e-05,4.8044654031954e-05
t__SGB1784,1.88092903126993e-06,1.54870641245651e-06,0.0001202395195694415,4.857578884453692e-06,4.8575790466754e-06,8.87681125157565e-08
t__SGB4269,1.99449358396141e-06,7.04250508508044e-08,1.284015690651306e-07,1.0508446683944328e-11,1.05035429133723e-11,1.11861911012405e-06
t__SGB5842,4.50564615838068e-06,2.33489131732748e-09,2.5309880680368517e-05,6.65624949426364e-38,6.64728928488272e-38,1.15978803387609e-32
t__SGB15271,1.16335914634873e-05,0.0,1.314637859222492e-05,4.579041673364962e-16,4.57408718444931e-16,9.92472761532052e-11
t__SGB4925,4.41979524314425e-05,5.93866747611305e-07,0.00013862562843156993,1.675589753601301e-07,1.67495165970068e-07,5.12877156580707e-09
t__SGB4933,4.44435816836634e-05,8.49449596218577e-08,0.0006319694981770526,1.9655479866027706e-05,1.96386946449852e-05,1.06951233214868e-11
t__SGB1853,4.44435816836634e-05,0.00988872183560448,0.002289845538418684,3.4147489636036526e-05,3.41304153836162e-05,2.49282621149962e-25
t__SGB14999,5.60627612549704e-05,0.00259726264075839,0.0013118178248968642,0.0018613552315560095,,0.047724514692703
t__SGB4367,5.67672823077905e-05,0.0380863051679355,0.0011963573873756633,0.005220299914328643,0.00521879844762502,0.000146267888896733
t__SGB4614,5.91188917480727e-05,0.000722683956818938,0.0015510772945981426,0.0005167901481448694,,2.07095367826911e-08
t__SGB15346,6.37835349814538e-05,0.00179844070060044,0.00013862562843156993,5.493521786925144e-06,5.4953973501105e-06,2.36249620101031e-05
t__SGB3988,6.37835349814538e-05,1.46327744157682e-07,0.0018025438847984942,0.0034713996740314205,0.00347626107570103,2.50231137699096e-12
t__SGB5197,6.37835349814538e-05,0.000788306665117138,0.00024189391496578486,3.4811459542394804e-06,,5.96863121616607e-13
t__SGB15091,8.86875624625854e-05,0.00258099259068748,0.0036001816828711546,0.015616507213846125,0.0156101878892585,2.53345525556483e-06
t__SGB2303,0.000115828016307096,0.00234113372899466,0.0038977097290147683,6.227922711702889e-06,6.22581133266547e-06,0.027333332861594
t__SGB4761,0.000196200197628574,8.37308397598768e-06,0.005002812584096983,2.104723540703065e-05,,9.45350106262221e-07
t__SGB4741,0.000228883105503301,0.000149922230337274,0.0057710706419459,2.3582463516001853e-13,2.35112933075728e-13,1.46298316258916e-06
t__SGB15316,0.000241486569788134,2.53235210484719e-05,0.0007947953061781897,3.4639941929754104e-06,3.4604402478285e-06,1.57533495345138e-06
t__SGB71759,0.000265869119381387,0.00288442851600096,0.00018495536369406574,0.00013886351697697498,,1.98358797361197e-06
t__SGB1858,0.000283476015802363,1.97786414160264e-08,0.00892642430157214,1.8155356042705852e-09,1.8103901366151e-09,3.01739138318153e-13
t__SGB4780,0.000460826012657153,0.0975873240293903,0.0015510772945981426,0.004724021706987613,,0.00325898197799475
t__SGB6007,0.000612302689896162,2.35848648943993e-09,0.016705491656497058,1.9514820478799343e-33,,2.52000135939861e-36
t__SGB15300,0.00068113415785661,0.0176350491396813,0.0014218468303902167,0.06423946739834817,0.0642229261426131,7.58847336468428e-06
t__SGB6826,0.00068113415785661,4.56039100061925e-07,0.005002812584096983,4.306503317613043e-21,4.29337322379991e-21,2.0248903103024e-38
t__SGB4951,0.00116412636791577,2.30722502809015e-05,0.0038977097290147683,7.808380644290086e-12,7.80454355113337e-12,5.08662116512529e-08
t__SGB15052,0.00116412636791577,0.0153297248967179,0.003629870170242855,0.00023206500301024252,,2.37965819585886e-12
t__SGB8249,0.00116412636791577,0.00553334718931115,0.023825759535177713,3.374619845766596e-07,,1.03970774931257e-14
t__SGB2328,0.00118257477821019,0.00120474612855216,0.011552225723291462,0.004255508185492549,0.00425308411403234,6.61771388910064e-06
t__SGB5045,0.00120503290931412,0.0224331424344682,0.007609866964534966,0.0008071882570403391,0.000806521630588574,8.9193721215836e-05
t__SGB25416,0.00125991114570722,5.60821305136313e-08,0.0038977097290147683,1.9655479866027706e-05,,1.11848646563856e-08
t__SGB9226,0.0014599618226766,0.195540755092262,0.03591689947328225,8.415102168195956e-05,8.40379506792527e-05,0.2951498695681
t__SGB4651,0.00148216449013055,0.0268659747747513,0.0038977097290147683,2.5374856535382407e-05,,2.6036571963056e-07
t__SGB15146,0.00148216449013055,0.0274905011838734,0.02193158262605459,0.5989217231969356,,2.754034871723e-05
