model,study,n_test,accuracy,roc_auc,precision,recall,f1
knn,AT-CRC,104,0.6538461538461539,0.7142053973013492,0.6190476190476191,0.5652173913043478,0.5909090909090909
knn,CHN_HK-CRC,128,0.65625,0.6566037735849057,0.6565656565656566,0.8666666666666667,0.7471264367816093
knn,CHN_SH-CRC,162,0.5493827160493827,0.5976818667073358,0.5267857142857143,0.7468354430379747,0.6178010471204188
knn,CHN_SH-CRC-2,73,0.6438356164383562,0.7550940438871473,0.5365853658536586,0.7586206896551724,0.6285714285714286
knn,CHN_SH-CRC-3,195,0.5743589743589743,0.6074284511784511,0.5488721804511278,0.7604166666666666,0.6375545851528384
knn,DE-CRC,72,0.7361111111111112,0.7710905349794237,0.4827586206896552,0.7777777777777778,0.5957446808510638
knn,FR-CRC,151,0.6026490066225165,0.6004849137931033,0.6173913043478261,0.8160919540229885,0.7029702970297029
knn,IND-CRC,54,0.5740740740740741,0.6460905349794238,0.5416666666666666,0.9629629629629629,0.6933333333333334
knn,ITA-CRC,103,0.5533980582524272,0.6069538926681785,0.5606060606060606,0.6851851851851852,0.6166666666666667
knn,JPN-CRC,349,0.670487106017192,0.5730562495268378,0.4523809523809524,0.17117117117117117,0.24836601307189543
knn,US-CRC,94,0.574468085106383,0.5672554347826088,0.55,0.717391304347826,0.6226415094339623
