model,study,n_test,accuracy,roc_auc,precision,recall,f1
lasso,AT-CRC,104,0.6923076923076923,0.7511244377811095,0.7058823529411765,0.5217391304347826,0.6
lasso,CHN_HK-CRC,128,0.6796875,0.7693081761006288,0.7428571428571429,0.6933333333333334,0.7172413793103448
lasso,CHN_SH-CRC,162,0.6604938271604939,0.7367698642671954,0.6428571428571429,0.6835443037974683,0.6625766871165644
lasso,CHN_SH-CRC-2,73,0.6575342465753424,0.8025078369905956,0.55,0.7586206896551724,0.6376811594202898
lasso,CHN_SH-CRC-3,195,0.6153846153846154,0.6628787878787878,0.5929203539823009,0.6979166666666666,0.6411483253588517
lasso,DE-CRC,72,0.8055555555555556,0.75,0.6111111111111112,0.6111111111111112,0.6111111111111112
lasso,FR-CRC,151,0.695364238410596,0.7654454022988505,0.8596491228070176,0.5632183908045977,0.6805555555555556
lasso,IND-CRC,54,0.8703703703703703,0.9163237311385459,0.8333333333333334,0.9259259259259259,0.8771929824561403
lasso,ITA-CRC,103,0.5533980582524272,0.6198034769463341,0.5909090909090909,0.48148148148148145,0.5306122448979591
lasso,JPN-CRC,349,0.5931232091690545,0.6207131501249149,0.3945578231292517,0.5225225225225225,0.44961240310077516
lasso,US-CRC,94,0.5106382978723404,0.5498188405797101,0.5,0.4782608695652174,0.4888888888888889
