model,study,n_test,accuracy,roc_auc,precision,recall,f1
mlp,AT-CRC,104,0.75,0.8549475262368816,0.7272727272727273,0.6956521739130435,0.711111111111111
mlp,CHN_HK-CRC,128,0.6796875,0.7720754716981132,0.7361111111111112,0.7066666666666667,0.7210884353741497
mlp,CHN_SH-CRC,162,0.6975308641975309,0.7745920390422448,0.7027027027027027,0.6582278481012658,0.6797385620915033
mlp,CHN_SH-CRC-2,73,0.726027397260274,0.8800940438871474,0.6046511627906976,0.896551724137931,0.7222222222222221
mlp,CHN_SH-CRC-3,195,0.6717948717948717,0.7280092592592592,0.6403508771929824,0.7604166666666666,0.6952380952380952
mlp,DE-CRC,72,0.7777777777777778,0.8148148148148149,0.5454545454545454,0.6666666666666666,0.6
mlp,FR-CRC,151,0.7350993377483444,0.8146551724137931,0.8309859154929577,0.6781609195402298,0.7468354430379747
mlp,IND-CRC,54,0.9074074074074074,0.8998628257887517,0.8928571428571429,0.9259259259259259,0.9090909090909091
mlp,ITA-CRC,103,0.6310679611650486,0.6999244142101285,0.6538461538461539,0.6296296296296297,0.6415094339622641
mlp,JPN-CRC,349,0.5988538681948424,0.6618593383299265,0.41317365269461076,0.6216216216216216,0.49640287769784175
mlp,US-CRC,94,0.5106382978723404,0.5484601449275363,0.5,0.5434782608695652,0.5208333333333334
