model,study,n_test,accuracy,roc_auc,precision,recall,f1
rf,AT-CRC,104,0.8269230769230769,0.8875562218890555,0.9375,0.6521739130434783,0.7692307692307693
rf,CHN_HK-CRC,128,0.8046875,0.879496855345912,0.9166666666666666,0.7333333333333333,0.8148148148148148
rf,CHN_SH-CRC,162,0.7777777777777778,0.8412383712063445,0.7721518987341772,0.7721518987341772,0.7721518987341772
rf,CHN_SH-CRC-2,73,0.8356164383561644,0.9239811912225705,0.7931034482758621,0.7931034482758621,0.7931034482758621
rf,CHN_SH-CRC-3,195,0.7487179487179487,0.8228114478114478,0.8507462686567164,0.59375,0.6993865030674846
rf,DE-CRC,72,0.875,0.8662551440329218,0.8461538461538461,0.6111111111111112,0.7096774193548387
rf,FR-CRC,151,0.6887417218543046,0.7869971264367815,0.8225806451612904,0.5862068965517241,0.6845637583892618
rf,IND-CRC,54,0.7592592592592593,0.9561042524005486,1.0,0.5185185185185185,0.6829268292682926
rf,ITA-CRC,103,0.7184466019417476,0.8235071806500378,0.8787878787878788,0.5370370370370371,0.6666666666666667
rf,JPN-CRC,349,0.7363896848137536,0.7742826860473919,0.5736434108527132,0.6666666666666666,0.6166666666666666
rf,US-CRC,94,0.5,0.5167572463768115,0.4838709677419355,0.32608695652173914,0.38961038961038963
