model,study,n_test,accuracy,roc_auc,precision,recall,f1
svm,AT-CRC,104,0.7115384615384616,0.8159670164917542,0.6904761904761905,0.6304347826086957,0.6590909090909092
svm,CHN_HK-CRC,128,0.65625,0.7670440251572327,0.7246376811594203,0.6666666666666666,0.6944444444444444
svm,CHN_SH-CRC,162,0.6728395061728395,0.7465304254994662,0.6585365853658537,0.6835443037974683,0.6708074534161491
svm,CHN_SH-CRC-2,73,0.6575342465753424,0.8040752351097178,0.55,0.7586206896551724,0.6376811594202898
svm,CHN_SH-CRC-3,195,0.6307692307692307,0.6783459595959597,0.62,0.6458333333333334,0.6326530612244898
svm,DE-CRC,72,0.7777777777777778,0.7993827160493827,0.55,0.6111111111111112,0.5789473684210527
svm,FR-CRC,151,0.6821192052980133,0.7693965517241379,0.8823529411764706,0.5172413793103449,0.6521739130434783
svm,IND-CRC,54,0.9074074074074074,0.8909465020576132,0.8928571428571429,0.9259259259259259,0.9090909090909091
svm,ITA-CRC,103,0.6601941747572816,0.6957671957671959,0.7021276595744681,0.6111111111111112,0.6534653465346535
svm,JPN-CRC,349,0.6131805157593123,0.6403588462411993,0.41304347826086957,0.5135135135135135,0.4578313253012048
svm,US-CRC,94,0.5106382978723404,0.5471014492753624,0.5,0.5217391304347826,0.5106382978723404
