model,study,n_test,accuracy,roc_auc,precision,recall,f1
xgb,AT-CRC,104,0.8269230769230769,0.9006746626686656,0.9375,0.6521739130434783,0.7692307692307693
xgb,CHN_HK-CRC,128,0.8203125,0.8950943396226415,0.9193548387096774,0.76,0.832116788321168
xgb,CHN_SH-CRC,162,0.7777777777777778,0.8513039499771237,0.7590361445783133,0.7974683544303798,0.7777777777777778
xgb,CHN_SH-CRC-2,73,0.8356164383561644,0.9200626959247649,0.7931034482758621,0.7931034482758621,0.7931034482758621
xgb,CHN_SH-CRC-3,195,0.7384615384615385,0.8126052188552189,0.7272727272727273,0.75,0.7384615384615384
xgb,DE-CRC,72,0.8472222222222222,0.8765432098765432,0.7333333333333333,0.6111111111111112,0.6666666666666666
xgb,FR-CRC,151,0.7019867549668874,0.7893318965517242,0.8088235294117647,0.632183908045977,0.7096774193548387
xgb,IND-CRC,54,0.8148148148148148,0.953360768175583,1.0,0.6296296296296297,0.7727272727272727
xgb,ITA-CRC,103,0.6893203883495146,0.7925170068027212,0.7894736842105263,0.5555555555555556,0.6521739130434783
xgb,JPN-CRC,349,0.7507163323782235,0.7808691043985161,0.5952380952380952,0.6756756756756757,0.6329113924050633
xgb,US-CRC,94,0.5319148936170213,0.5384963768115942,0.5294117647058824,0.391304347826087,0.45
